"August 6, 2017",5,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Betsy Lerner
"August 6, 2017",6,The Big Lie,Dinesh D'Souza,Regnery Publishing,David Granger
"August 6, 2017",7,Solar Eclipse Road Trip,Science Across America,CreateSpace Independent Publishing Platform,James Bell
"August 6, 2017",8,Conscience of a Conservative,Jeff Flake,Random House,Marc Gerald
"August 6, 2017",9,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Peter Steinberg
"August 6, 2017",10,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Marc Gerald
"August 6, 2017",11,The 5 Second Rule,Mel Robbins,Savio Republic,Jan Miller
"August 6, 2017",12,You Are a Badass,Jen Sincero,Running Press,Peter McGuigan
"August 6, 2017",13,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,Scott Moyers
"August 6, 2017",14,The 7 Habits of Highly Effective People,Stephen R. Covey,RosettaBooks,Jennifer Rudolph Walsh
"August 6, 2017",15,The Miracle of Dunkirk,Walter Lord,Open Road Media,Mollie Glick
"August 6, 2017",16,Sapiens,Yuval Noah Harari,Harper,Robert Barnett
"August 6, 2017",17,Born a Crime,Trevor Noah,Spiegel & Grau,Tina Bennett
"August 6, 2017",18,The Cosmic Serpent,Jeremy Nar,TarcherPerigee,Betsy Lerner
"August 6, 2017",19,The Power of Habit,Charles Duhigg,Random House,David Granger
"August 6, 2017",20,The Book of Joy,"Dalai Lama, Desmond Tutu & Douglas Carlton Abrams",Avery,James Bell
"August 13, 2017",1,The Glass Castle,Jeannette Walls,Scribner,Jennifer Rudolph Walsh
"August 13, 2017",2,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"August 13, 2017",3,Solar Eclipse Road Trip,Science Across America,CreateSpace Independent Publishing Platform,Tina Bennett
"August 13, 2017",4,Why Buddhism is True,Robert Wright,Simon & Schuster,Nicole Tourtelot
"August 13, 2017",5,Verbal Judo,George Thompson PhD,William Morrow Paperbacks,Robert Barnett
"August 13, 2017",6,Hillbilly Elegy,J.D. Vance,Harper,Betsy Lerner
"August 13, 2017",7,Get Well Soon,Jennifer Wright,Henry Holt and Co.,Curtis Yates
"August 13, 2017",8,"Al Franken, Giant of the Senate",Al Franken,Twelve,James Bell
